year,scenario,region,elev_low,elev_high,value
1981,historical,AMU_DARYA,0.0,1000.0,1.1211287671232881
1982,historical,AMU_DARYA,0.0,1000.0,0.9851704553868945
1983,historical,AMU_DARYA,0.0,1000.0,1.0930972972972977
1984,historical,AMU_DARYA,0.0,1000.0,0.81499446167479
1985,historical,AMU_DARYA,0.0,1000.0,1.3850262125138841
1986,historical,AMU_DARYA,0.0,1000.0,1.1261534987041846
1987,historical,AMU_DARYA,0.0,1000.0,0.8549041095890415
1988,historical,AMU_DARYA,0.0,1000.0,1.1869769605671248
1989,historical,AMU_DARYA,0.0,1000.0,0.978080784894484
1990,historical,AMU_DARYA,0.0,1000.0,0.9912193261754911
1991,historical,AMU_DARYA,0.0,1000.0,1.1052187338022956
1992,historical,AMU_DARYA,0.0,1000.0,0.831751883030572
1993,historical,AMU_DARYA,0.0,1000.0,0.9581799333580158
1994,historical,AMU_DARYA,0.0,1000.0,1.1419312106627182
1995,historical,AMU_DARYA,0.0,1000.0,0.9048216956682714
1996,historical,AMU_DARYA,0.0,1000.0,0.968807561660021
1997,historical,AMU_DARYA,0.0,1000.0,1.2172875971862276
1998,historical,AMU_DARYA,0.0,1000.0,0.7739371343946686
1999,historical,AMU_DARYA,0.0,1000.0,0.9722582006664198
2000,historical,AMU_DARYA,0.0,1000.0,0.7754873726185203
2001,historical,AMU_DARYA,0.0,1000.0,1.3760262125138856
2002,historical,AMU_DARYA,0.0,1000.0,0.9035423176601264
2003,historical,AMU_DARYA,0.0,1000.0,0.9049282487967428
2004,historical,AMU_DARYA,0.0,1000.0,1.0803170137350473
2005,historical,AMU_DARYA,0.0,1000.0,1.0351956312476864
2006,historical,AMU_DARYA,0.0,1000.0,1.4273241762310263
2007,historical,AMU_DARYA,0.0,1000.0,1.1765509070714557
2008,historical,AMU_DARYA,0.0,1000.0,0.6268411608329643
2009,historical,AMU_DARYA,0.0,1000.0,1.0005491299518696
2010,historical,AMU_DARYA,0.0,1000.0,1.2081791188448732
2011,historical,AMU_DARYA,0.0,1000.0,1.1120046649389117
2012,historical,AMU_DARYA,0.0,1000.0,1.5174743760153602
2013,historical,AMU_DARYA,0.0,1000.0,1.0698350240651613
2014,historical,AMU_DARYA,0.0,1000.0,0.9278129581636432
1981,historical,AMU_DARYA,1000.0,2000.0,1.8843748747076536
1982,historical,AMU_DARYA,1000.0,2000.0,1.569315202138324
1983,historical,AMU_DARYA,1000.0,2000.0,1.8746193117273664
1984,historical,AMU_DARYA,1000.0,2000.0,1.3206156870585108
1985,historical,AMU_DARYA,1000.0,2000.0,2.2540674685376993
1986,historical,AMU_DARYA,1000.0,2000.0,1.6231147343802206
1987,historical,AMU_DARYA,1000.0,2000.0,1.5162166388239238
1988,historical,AMU_DARYA,1000.0,2000.0,1.8779960904527093
1989,historical,AMU_DARYA,1000.0,2000.0,1.7137637821583713
1990,historical,AMU_DARYA,1000.0,2000.0,1.5160670898763795
1991,historical,AMU_DARYA,1000.0,2000.0,1.7703727141107053
1992,historical,AMU_DARYA,1000.0,2000.0,1.439171109334046
1993,historical,AMU_DARYA,1000.0,2000.0,1.4343999331774144
1994,historical,AMU_DARYA,1000.0,2000.0,1.829217752533691
1995,historical,AMU_DARYA,1000.0,2000.0,1.4381126406058593
1996,historical,AMU_DARYA,1000.0,2000.0,1.4677383046781298
1997,historical,AMU_DARYA,1000.0,2000.0,2.0254885176523016
1998,historical,AMU_DARYA,1000.0,2000.0,1.2721359839625803
1999,historical,AMU_DARYA,1000.0,2000.0,1.4189492593830055
2000,historical,AMU_DARYA,1000.0,2000.0,1.3054539295392966
2001,historical,AMU_DARYA,1000.0,2000.0,2.2163609756097586
2002,historical,AMU_DARYA,1000.0,2000.0,1.4239652968036538
2003,historical,AMU_DARYA,1000.0,2000.0,1.4258015591936741
2004,historical,AMU_DARYA,1000.0,2000.0,1.4347607401483853
2005,historical,AMU_DARYA,1000.0,2000.0,1.6775897093217513
2006,historical,AMU_DARYA,1000.0,2000.0,2.335473638489812
2007,historical,AMU_DARYA,1000.0,2000.0,1.794791179418645
2008,historical,AMU_DARYA,1000.0,2000.0,1.1659276289484206
2009,historical,AMU_DARYA,1000.0,2000.0,1.5739940527898437
2010,historical,AMU_DARYA,1000.0,2000.0,1.889689052232991
2011,historical,AMU_DARYA,1000.0,2000.0,1.7772255262278656
2012,historical,AMU_DARYA,1000.0,2000.0,2.3383428628548617
2013,historical,AMU_DARYA,1000.0,2000.0,1.7362308497605536
2014,historical,AMU_DARYA,1000.0,2000.0,1.5578366633255378
1981,historical,AMU_DARYA,2000.0,3000.0,2.1846062867694442
1982,historical,AMU_DARYA,2000.0,3000.0,2.092997998883502
1983,historical,AMU_DARYA,2000.0,3000.0,1.852734675999487
1984,historical,AMU_DARYA,2000.0,3000.0,1.9394273686554664
1985,historical,AMU_DARYA,2000.0,3000.0,2.3290430111220863
1986,historical,AMU_DARYA,2000.0,3000.0,2.056982007128441
1987,historical,AMU_DARYA,2000.0,3000.0,1.6977379396229653
1988,historical,AMU_DARYA,2000.0,3000.0,2.320865709097767
1989,historical,AMU_DARYA,2000.0,3000.0,2.0557635418903217
1990,historical,AMU_DARYA,2000.0,3000.0,1.7520475716064734
1991,historical,AMU_DARYA,2000.0,3000.0,2.039696869498
1992,historical,AMU_DARYA,2000.0,3000.0,1.667014474878804
1993,historical,AMU_DARYA,2000.0,3000.0,1.7239341435135485
1994,historical,AMU_DARYA,2000.0,3000.0,2.0913944003091895
1995,historical,AMU_DARYA,2000.0,3000.0,1.7172487396401437
1996,historical,AMU_DARYA,2000.0,3000.0,1.7904153091114667
