year,scenario,region,elev_low,elev_high,value
1981,historical,AMU_DARYA,0.0,1000.0,0.03932972972972973
1982,historical,AMU_DARYA,0.0,1000.0,0.34238052573121075
1983,historical,AMU_DARYA,0.0,1000.0,0.4108864864864865
1984,historical,AMU_DARYA,0.0,1000.0,0.044986634175158746
1985,historical,AMU_DARYA,0.0,1000.0,0.29046738245094417
1986,historical,AMU_DARYA,0.0,1000.0,0.0720231766012588
1987,historical,AMU_DARYA,0.0,1000.0,0.014643539429840799
1988,historical,AMU_DARYA,0.0,1000.0,0.23318904150051695
1989,historical,AMU_DARYA,0.0,1000.0,1.4129693446871527
1990,historical,AMU_DARYA,0.0,1000.0,0.018491521658644948
1991,historical,AMU_DARYA,0.0,1000.0,0.013421769714920396
1992,historical,AMU_DARYA,0.0,1000.0,0.1024131590607
1993,historical,AMU_DARYA,0.0,1000.0,0.2160576823398741
1994,historical,AMU_DARYA,0.0,1000.0,0.48514409477971127
1995,historical,AMU_DARYA,0.0,1000.0,0.001255905220288782
1996,historical,AMU_DARYA,0.0,1000.0,0.008364421798848026
1997,historical,AMU_DARYA,0.0,1000.0,0.03768670862643464
1998,historical,AMU_DARYA,0.0,1000.0,0.0040665679378008145
1999,historical,AMU_DARYA,0.0,1000.0,0.020041688263606073
2000,historical,AMU_DARYA,0.0,1000.0,0.030525550140304235
2001,historical,AMU_DARYA,0.0,1000.0,0.061742613846723464
2002,historical,AMU_DARYA,0.0,1000.0,0.030414365049981493
2003,historical,AMU_DARYA,0.0,1000.0,0.011679822288041469
2004,historical,AMU_DARYA,0.0,1000.0,0.1343711416334367
2005,historical,AMU_DARYA,0.0,1000.0,0.08908715290633099
2006,historical,AMU_DARYA,0.0,1000.0,0.01403924472417623
2007,historical,AMU_DARYA,0.0,1000.0,0.030443021103295075
2008,historical,AMU_DARYA,0.0,1000.0,0.13359141928814058
2009,historical,AMU_DARYA,0.0,1000.0,0.003854054054054055
2010,historical,AMU_DARYA,0.0,1000.0,1.3604052573121066
2011,historical,AMU_DARYA,0.0,1000.0,0.002652128841169937
2012,historical,AMU_DARYA,0.0,1000.0,0.01798752030719243
2013,historical,AMU_DARYA,0.0,1000.0,0.0023218807848944837
2014,historical,AMU_DARYA,0.0,1000.0,0.0020790818215475743
1981,historical,AMU_DARYA,1000.0,2000.0,5.103017574340131
1982,historical,AMU_DARYA,1000.0,2000.0,11.305891814233211
1983,historical,AMU_DARYA,1000.0,2000.0,14.557749593495934
1984,historical,AMU_DARYA,1000.0,2000.0,9.373410546892355
1985,historical,AMU_DARYA,1000.0,2000.0,20.42292186212273
1986,historical,AMU_DARYA,1000.0,2000.0,5.0421779930950015
1987,historical,AMU_DARYA,1000.0,2000.0,18.186454527230204
1988,historical,AMU_DARYA,1000.0,2000.0,12.110648385090405
1989,historical,AMU_DARYA,1000.0,2000.0,32.43931482347699
1990,historical,AMU_DARYA,1000.0,2000.0,4.15983220848647
1991,historical,AMU_DARYA,1000.0,2000.0,6.917937075398153
1992,historical,AMU_DARYA,1000.0,2000.0,8.298279954684794
1993,historical,AMU_DARYA,1000.0,2000.0,3.038117563203026
1994,historical,AMU_DARYA,1000.0,2000.0,26.819796302483574
1995,historical,AMU_DARYA,1000.0,2000.0,8.256594899209269
1996,historical,AMU_DARYA,1000.0,2000.0,6.885538495712824
1997,historical,AMU_DARYA,1000.0,2000.0,12.973442966922827
1998,historical,AMU_DARYA,1000.0,2000.0,2.5033861231763006
1999,historical,AMU_DARYA,1000.0,2000.0,3.8099805991758546
2000,historical,AMU_DARYA,1000.0,2000.0,5.245702008085651
2001,historical,AMU_DARYA,1000.0,2000.0,4.228841474551735
2002,historical,AMU_DARYA,1000.0,2000.0,3.665429001002338
2003,historical,AMU_DARYA,1000.0,2000.0,3.5962826149905305
2004,historical,AMU_DARYA,1000.0,2000.0,9.383721311475409
2005,historical,AMU_DARYA,1000.0,2000.0,20.911613876823704
2006,historical,AMU_DARYA,1000.0,2000.0,19.007908631250704
2007,historical,AMU_DARYA,1000.0,2000.0,6.1802541040204915
2008,historical,AMU_DARYA,1000.0,2000.0,12.669192856190865
2009,historical,AMU_DARYA,1000.0,2000.0,2.958986435015035
2010,historical,AMU_DARYA,1000.0,2000.0,13.01677527564317
2011,historical,AMU_DARYA,1000.0,2000.0,9.880429958792742
2012,historical,AMU_DARYA,1000.0,2000.0,5.7380236349904505
2013,historical,AMU_DARYA,1000.0,2000.0,3.005699899766119
2014,historical,AMU_DARYA,1000.0,2000.0,4.453115491702864
1981,historical,AMU_DARYA,2000.0,3000.0,82.98595185237293
1982,historical,AMU_DARYA,2000.0,3000.0,86.23389119962572
1983,historical,AMU_DARYA,2000.0,3000.0,65.72299170352557
1984,historical,AMU_DARYA,2000.0,3000.0,97.24684741721845
1985,historical,AMU_DARYA,2000.0,3000.0,85.9564365647904
1986,historical,AMU_DARYA,2000.0,3000.0,88.1935494829876
1987,historical,AMU_DARYA,2000.0,3000.0,87.82173257182126
1988,historical,AMU_DARYA,2000.0,3000.0,99.57082577975406
1989,historical,AMU_DARYA,2000.0,3000.0,90.58847819398054
1990,historical,AMU_DARYA,2000.0,3000.0,51.21557328122976
1991,historical,AMU_DARYA,2000.0,3000.0,73.11575782285811
1992,historical,AMU_DARYA,2000.0,3000.0,71.84240741216574
1993,historical,AMU_DARYA,2000.0,3000.0,62.35778386224077
1994,historical,AMU_DARYA,2000.0,3000.0,101.61861814186823
1995,historical,AMU_DARYA,2000.0,3000.0,59.142523373556024
1996,historical,AMU_DARYA,2000.0,3000.0,69.38992386150635
1997,historical,AMU_DARYA,2000.0,3000.0,72.75368267273583
1998,historical,AMU_DARYA,2000.0,3000.0,58.897658234682304
1999,historical,AMU_DARYA,2000.0,3000.0,56.424678138016894
2000,historical,AMU_DARYA,2000.0,3000.0,68.79647741761478
2001,historical,AMU_DARYA,2000.0,3000.0,90.88697065759898
2002,historical,AMU_DARYA,2000.0,3000.0,67.08947254843845
2003,historical,AMU_DARYA,2000.0,3000.0,61.21684984755435
2004,historical,AMU_DARYA,2000.0,3000.0,51.405362796991916
2005,historical,AMU_DARYA,2000.0,3000.0,77.19788865031992
2006,historical,AMU_DARYA,2000.0,3000.0,120.75751450993825
