year,scenario,region,elev_low,elev_high,value
1981,historical,AMU_DARYA,0.0,1000.0,15.403858348759712
1982,historical,AMU_DARYA,0.0,1000.0,13.356323139577935
1983,historical,AMU_DARYA,0.0,1000.0,14.376855534987044
1984,historical,AMU_DARYA,0.0,1000.0,13.530814133805936
1985,historical,AMU_DARYA,0.0,1000.0,14.405210514624216
1986,historical,AMU_DARYA,0.0,1000.0,15.494957941503147
1987,historical,AMU_DARYA,0.0,1000.0,15.54808241392077
1988,historical,AMU_DARYA,0.0,1000.0,14.945352828238073
1989,historical,AMU_DARYA,0.0,1000.0,13.277281895594221
1990,historical,AMU_DARYA,0.0,1000.0,15.437078045168455
1991,historical,AMU_DARYA,0.0,1000.0,15.95270470196224
1992,historical,AMU_DARYA,0.0,1000.0,14.46736183724709
1993,historical,AMU_DARYA,0.0,1000.0,14.923488559792673
1994,historical,AMU_DARYA,0.0,1000.0,14.688840059237322
1995,historical,AMU_DARYA,0.0,1000.0,14.83943339503887
1996,historical,AMU_DARYA,0.0,1000.0,15.897549697238219
1997,historical,AMU_DARYA,0.0,1000.0,15.935852425027768
1998,historical,AMU_DARYA,0.0,1000.0,15.654381118104396
1999,historical,AMU_DARYA,0.0,1000.0,15.00542110329507
2000,historical,AMU_DARYA,0.0,1000.0,16.401691256830606
2001,historical,AMU_DARYA,0.0,1000.0,15.593625398000738
2002,historical,AMU_DARYA,0.0,1000.0,15.901448944835243
2003,historical,AMU_DARYA,0.0,1000.0,16.085330396149573
2004,historical,AMU_DARYA,0.0,1000.0,14.261286220646882
2005,historical,AMU_DARYA,0.0,1000.0,15.600260348019257
2006,historical,AMU_DARYA,0.0,1000.0,15.871564013328397
2007,historical,AMU_DARYA,0.0,1000.0,15.868886264346543
2008,historical,AMU_DARYA,0.0,1000.0,15.520926746418544
2009,historical,AMU_DARYA,0.0,1000.0,16.264706182895225
2010,historical,AMU_DARYA,0.0,1000.0,14.130388300629395
2011,historical,AMU_DARYA,0.0,1000.0,15.49539452054794
2012,historical,AMU_DARYA,0.0,1000.0,16.069296485009602
2013,historical,AMU_DARYA,0.0,1000.0,16.675974527952615
2014,historical,AMU_DARYA,0.0,1000.0,15.72238963346909
1981,historical,AMU_DARYA,1000.0,2000.0,9.22674039425325
1982,historical,AMU_DARYA,1000.0,2000.0,7.253168392916808
1983,historical,AMU_DARYA,1000.0,2000.0,8.359995500612545
1984,historical,AMU_DARYA,1000.0,2000.0,7.415083588786705
1985,historical,AMU_DARYA,1000.0,2000.0,8.162889675910453
1986,historical,AMU_DARYA,1000.0,2000.0,9.448678338345024
1987,historical,AMU_DARYA,1000.0,2000.0,9.363559505512859
1988,historical,AMU_DARYA,1000.0,2000.0,8.8489397796437
1989,historical,AMU_DARYA,1000.0,2000.0,6.674164739948769
1990,historical,AMU_DARYA,1000.0,2000.0,9.402872702973601
1991,historical,AMU_DARYA,1000.0,2000.0,9.810992092660655
1992,historical,AMU_DARYA,1000.0,2000.0,8.320680039095471
1993,historical,AMU_DARYA,1000.0,2000.0,8.984588038757101
1994,historical,AMU_DARYA,1000.0,2000.0,8.3129454282214
1995,historical,AMU_DARYA,1000.0,2000.0,8.953159683706424
1996,historical,AMU_DARYA,1000.0,2000.0,9.768676995868317
1997,historical,AMU_DARYA,1000.0,2000.0,9.673073571667228
1998,historical,AMU_DARYA,1000.0,2000.0,9.768636975164277
1999,historical,AMU_DARYA,1000.0,2000.0,9.028832988083305
2000,historical,AMU_DARYA,1000.0,2000.0,10.312715491581145
2001,historical,AMU_DARYA,1000.0,2000.0,9.581405167613319
2002,historical,AMU_DARYA,1000.0,2000.0,9.754171912239672
2003,historical,AMU_DARYA,1000.0,2000.0,10.014397483015918
2004,historical,AMU_DARYA,1000.0,2000.0,8.033536118885776
2005,historical,AMU_DARYA,1000.0,2000.0,9.240882102684042
2006,historical,AMU_DARYA,1000.0,2000.0,9.702176367078737
2007,historical,AMU_DARYA,1000.0,2000.0,9.656712751976833
2008,historical,AMU_DARYA,1000.0,2000.0,9.264457305966504
2009,historical,AMU_DARYA,1000.0,2000.0,10.229235906002897
2010,historical,AMU_DARYA,1000.0,2000.0,7.8902627686824856
2011,historical,AMU_DARYA,1000.0,2000.0,9.359841563648517
2012,historical,AMU_DARYA,1000.0,2000.0,9.899932893509257
2013,historical,AMU_DARYA,1000.0,2000.0,10.571484530571334
2014,historical,AMU_DARYA,1000.0,2000.0,9.678411560307383
1981,historical,AMU_DARYA,2000.0,3000.0,0.8195261905784348
1982,historical,AMU_DARYA,2000.0,3000.0,-0.7528094129771973
1983,historical,AMU_DARYA,2000.0,3000.0,0.6186498389659459
1984,historical,AMU_DARYA,2000.0,3000.0,-0.6722063569556505
1985,historical,AMU_DARYA,2000.0,3000.0,0.21027985571348806
1986,historical,AMU_DARYA,2000.0,3000.0,1.3532297419160908
1987,historical,AMU_DARYA,2000.0,3000.0,1.0697795851762784
1988,historical,AMU_DARYA,2000.0,3000.0,0.70648698973911
1989,historical,AMU_DARYA,2000.0,3000.0,-0.937926602825611
1990,historical,AMU_DARYA,2000.0,3000.0,1.4769513891870998
1991,historical,AMU_DARYA,2000.0,3000.0,1.7335431614205363
1992,historical,AMU_DARYA,2000.0,3000.0,0.51074330643918
1993,historical,AMU_DARYA,2000.0,3000.0,1.0302198222184078
1994,historical,AMU_DARYA,2000.0,3000.0,0.2465067204878259
1995,historical,AMU_DARYA,2000.0,3000.0,1.1894033237428596
1996,historical,AMU_DARYA,2000.0,3000.0,1.6870339003374606
1997,historical,AMU_DARYA,2000.0,3000.0,1.714476360200971
1998,historical,AMU_DARYA,2000.0,3000.0,1.757789985829002
1999,historical,AMU_DARYA,2000.0,3000.0,1.1754194185597107
2000,historical,AMU_DARYA,2000.0,3000.0,2.302193946245951
2001,historical,AMU_DARYA,2000.0,3000.0,1.2610428135869816
2002,historical,AMU_DARYA,2000.0,3000.0,1.695600085884832
2003,historical,AMU_DARYA,2000.0,3000.0,2.011946313393738
2004,historical,AMU_DARYA,2000.0,3000.0,0.12388809805231506
2005,historical,AMU_DARYA,2000.0,3000.0,1.1144091295572633
2006,historical,AMU_DARYA,2000.0,3000.0,1.2349808562717377
2007,historical,AMU_DARYA,2000.0,3000.0,1.4082414050757943
2008,historical,AMU_DARYA,2000.0,3000.0,1.466087131918394
2009,historical,AMU_DARYA,2000.0,3000.0,2.320727289904235
2010,historical,AMU_DARYA,2000.0,3000.0,-0.17828789453343022
2011,historical,AMU_DARYA,2000.0,3000.0,1.2500792631081743
2012,historical,AMU_DARYA,2000.0,3000.0,1.7849562156328709
2013,historical,AMU_DARYA,2000.0,3000.0,2.5110105895993495
