year,scenario,region,elev_low,elev_high,value
1981,historical,AMU_DARYA,0.0,1000.0,0.20102947056645828
1982,historical,AMU_DARYA,0.0,1000.0,0.20874350240651754
1983,historical,AMU_DARYA,0.0,1000.0,0.2092533135875617
1984,historical,AMU_DARYA,0.0,1000.0,0.20131915522079577
1985,historical,AMU_DARYA,0.0,1000.0,0.20748515364679898
1986,historical,AMU_DARYA,0.0,1000.0,0.20199489078119337
1987,historical,AMU_DARYA,0.0,1000.0,0.200396149574233
1988,historical,AMU_DARYA,0.0,1000.0,0.20526428887904413
1989,historical,AMU_DARYA,0.0,1000.0,0.21392676786375567
1990,historical,AMU_DARYA,0.0,1000.0,0.2005277304701976
1991,historical,AMU_DARYA,0.0,1000.0,0.20028981858571035
1992,historical,AMU_DARYA,0.0,1000.0,0.20274014178112673
1993,historical,AMU_DARYA,0.0,1000.0,0.20486864124398504
1994,historical,AMU_DARYA,0.0,1000.0,0.20772965568308174
1995,historical,AMU_DARYA,0.0,1000.0,0.20001347649019005
1996,historical,AMU_DARYA,0.0,1000.0,0.20021222862206603
1997,historical,AMU_DARYA,0.0,1000.0,0.20106271751203397
1998,historical,AMU_DARYA,0.0,1000.0,0.20006419844502174
1999,historical,AMU_DARYA,0.0,1000.0,0.20059933358015689
2000,historical,AMU_DARYA,0.0,1000.0,0.20073268350317663
2001,historical,AMU_DARYA,0.0,1000.0,0.20169974083672854
2002,historical,AMU_DARYA,0.0,1000.0,0.20085723805997918
2003,historical,AMU_DARYA,0.0,1000.0,0.20036134764902022
2004,historical,AMU_DARYA,0.0,1000.0,0.20338428592527072
2005,historical,AMU_DARYA,0.0,1000.0,0.2026741947426891
2006,historical,AMU_DARYA,0.0,1000.0,0.20037467604591036
2007,historical,AMU_DARYA,0.0,1000.0,0.20090366530914613
2008,historical,AMU_DARYA,0.0,1000.0,0.2040047998818505
2009,historical,AMU_DARYA,0.0,1000.0,0.20013150684931635
2010,historical,AMU_DARYA,0.0,1000.0,0.2194389485375804
2011,historical,AMU_DARYA,0.0,1000.0,0.20004205849685439
2012,historical,AMU_DARYA,0.0,1000.0,0.20053500221533144
2013,historical,AMU_DARYA,0.0,1000.0,0.20002887819326315
2014,historical,AMU_DARYA,0.0,1000.0,0.20005272121436637
1981,historical,AMU_DARYA,1000.0,2000.0,0.2246759772803223
1982,historical,AMU_DARYA,1000.0,2000.0,0.2515318186880516
1983,historical,AMU_DARYA,1000.0,2000.0,0.24684555072948167
1984,historical,AMU_DARYA,1000.0,2000.0,0.2426865031765086
1985,historical,AMU_DARYA,1000.0,2000.0,0.2573611092549299
1986,historical,AMU_DARYA,1000.0,2000.0,0.22444597393919272
1987,historical,AMU_DARYA,1000.0,2000.0,0.24368366187771612
1988,historical,AMU_DARYA,1000.0,2000.0,0.23804682571416008
