year,scenario,region,elev_low,elev_high,value
1981,historical,AMU_DARYA,0.0,1000.0,0.00030196223620881154
1982,historical,AMU_DARYA,0.0,1000.0,0.002223250647908182
1983,historical,AMU_DARYA,0.0,1000.0,0.0023337282487967416
1984,historical,AMU_DARYA,0.0,1000.0,0.000316127603012849
1985,historical,AMU_DARYA,0.0,1000.0,0.0017612736023694927
1986,historical,AMU_DARYA,0.0,1000.0,0.0004957423176601258
1987,historical,AMU_DARYA,0.0,1000.0,0.00012069603850425768
1988,historical,AMU_DARYA,0.0,1000.0,0.0014494166297444983
1989,historical,AMU_DARYA,0.0,1000.0,0.0053818585708996685
1990,historical,AMU_DARYA,0.0,1000.0,0.0001295075897815624
1991,historical,AMU_DARYA,0.0,1000.0,0.00011751203258052574
1992,historical,AMU_DARYA,0.0,1000.0,0.0006150494757052135
1993,historical,AMU_DARYA,0.0,1000.0,0.0013316549426138466
1994,historical,AMU_DARYA,0.0,1000.0,0.0022104405775638645
1995,historical,AMU_DARYA,0.0,1000.0,9.848204368752313e-06
1996,historical,AMU_DARYA,0.0,1000.0,7.111209570225964e-05
1997,historical,AMU_DARYA,0.0,1000.0,0.00030344316919659394
1998,historical,AMU_DARYA,0.0,1000.0,3.583857830433172e-05
1999,historical,AMU_DARYA,0.0,1000.0,0.00016105146242132546
2000,historical,AMU_DARYA,0.0,1000.0,0.00020203810367744793
2001,historical,AMU_DARYA,0.0,1000.0,0.0004126619770455387
2002,historical,AMU_DARYA,0.0,1000.0,0.00022139948167345435
2003,historical,AMU_DARYA,0.0,1000.0,9.811181044057756e-05
2004,historical,AMU_DARYA,0.0,1000.0,0.000852532860729582
2005,historical,AMU_DARYA,0.0,1000.0,0.0006413180303591264
2006,historical,AMU_DARYA,0.0,1000.0,0.00012269529803776374
2007,historical,AMU_DARYA,0.0,1000.0,0.0002349500185116624
2008,historical,AMU_DARYA,0.0,1000.0,0.0008784522227145176
2009,historical,AMU_DARYA,0.0,1000.0,2.8730099962976672e-05
2010,historical,AMU_DARYA,0.0,1000.0,0.0063328396890040715
2011,historical,AMU_DARYA,0.0,1000.0,2.19918548685672e-05
2012,historical,AMU_DARYA,0.0,1000.0,0.00014532565352237477
2013,historical,AMU_DARYA,0.0,1000.0,1.8881895594224356e-05
2014,historical,AMU_DARYA,0.0,1000.0,1.7104776008885596e-05
1981,historical,AMU_DARYA,1000.0,2000.0,0.01573903552734158
1982,historical,AMU_DARYA,1000.0,2000.0,0.03807987526450606
1983,historical,AMU_DARYA,1000.0,2000.0,0.04336756877157813
1984,historical,AMU_DARYA,1000.0,2000.0,0.02934541738860013
1985,historical,AMU_DARYA,1000.0,2000.0,0.05452885622006908
1986,historical,AMU_DARYA,1000.0,2000.0,0.014391223967034182
1987,historical,AMU_DARYA,1000.0,2000.0,0.04286078627909566
1988,historical,AMU_DARYA,1000.0,2000.0,0.03357137145141945
1989,historical,AMU_DARYA,1000.0,2000.0,0.10476786985493201
1990,historical,AMU_DARYA,1000.0,2000.0,0.013653992649515534
1991,historical,AMU_DARYA,1000.0,2000.0,0.01998427441808664
